"Código Departamento";"Nombre Departamento";"Código Municipio";"Nombre Municipio"
"05";"ANTIOQUIA";"001";"MEDELLIN"
"05";"ANTIOQUIA";"002";"ABEJORRAL"
"05";"ANTIOQUIA";"004";"ABRIAQUI"
"05";"ANTIOQUIA";"021";"ALEJANDRIA"
"05";"ANTIOQUIA";"030";"AMAGA"
"05";"ANTIOQUIA";"031";"AMALFI"
"05";"ANTIOQUIA";"034";"ANDES"
"05";"ANTIOQUIA";"036";"ANGELOPOLIS"
"05";"ANTIOQUIA";"038";"ANGOSTURA"
"05";"ANTIOQUIA";"040";"ANORI"
"05";"ANTIOQUIA";"042";"SANTAFE DE ANTIOQUIA"
"05";"ANTIOQUIA";"044";"ANZA"
"05";"ANTIOQUIA";"045";"APARTADO"
"05";"ANTIOQUIA";"051";"ARBOLETES"
"05";"ANTIOQUIA";"055";"ARGELIA"
"05";"ANTIOQUIA";"059";"ARMENIA"
"05";"ANTIOQUIA";"079";"BARBOSA"
"05";"ANTIOQUIA";"086";"BELMIRA"
"05";"ANTIOQUIA";"088";"BELLO"
"05";"ANTIOQUIA";"091";"BETANIA"
"05";"ANTIOQUIA";"093";"BETULIA"
"05";"ANTIOQUIA";"101";"CIUDAD BOLIVAR"
"05";"ANTIOQUIA";"107";"BRICEÑO"
"05";"ANTIOQUIA";"113";"BURITICA"
"05";"ANTIOQUIA";"120";"CACERES"
"05";"ANTIOQUIA";"125";"CAICEDO"
"05";"ANTIOQUIA";"129";"CALDAS"
"05";"ANTIOQUIA";"134";"CAMPAMENTO"
"05";"ANTIOQUIA";"138";"CAÑASGORDAS"
"05";"ANTIOQUIA";"142";"CARACOLI"
"05";"ANTIOQUIA";"145";"CARAMANTA"
"05";"ANTIOQUIA";"147";"CAREPA"
"05";"ANTIOQUIA";"148";"EL CARMEN DE VIBORAL"
"05";"ANTIOQUIA";"150";"CAROLINA"
"05";"ANTIOQUIA";"154";"CAUCASIA"
"05";"ANTIOQUIA";"172";"CHIGORODO"
"05";"ANTIOQUIA";"190";"CISNEROS"
"05";"ANTIOQUIA";"197";"COCORNA"
"05";"ANTIOQUIA";"206";"CONCEPCION"
"05";"ANTIOQUIA";"209";"CONCORDIA"
"05";"ANTIOQUIA";"212";"COPACABANA"
"05";"ANTIOQUIA";"234";"DABEIBA"
"05";"ANTIOQUIA";"237";"DON MATIAS"
"05";"ANTIOQUIA";"240";"EBEJICO"
"05";"ANTIOQUIA";"250";"EL BAGRE"
"05";"ANTIOQUIA";"264";"ENTRERRIOS"
"05";"ANTIOQUIA";"266";"ENVIGADO"
"05";"ANTIOQUIA";"282";"FREDONIA"
"05";"ANTIOQUIA";"284";"FRONTINO"
"05";"ANTIOQUIA";"306";"GIRALDO"
"05";"ANTIOQUIA";"308";"GIRARDOTA"
"05";"ANTIOQUIA";"310";"GOMEZ PLATA"
"05";"ANTIOQUIA";"313";"GRANADA"
"05";"ANTIOQUIA";"315";"GUADALUPE"
"05";"ANTIOQUIA";"318";"GUARNE"
"05";"ANTIOQUIA";"321";"GUATAPE"
"05";"ANTIOQUIA";"347";"HELICONIA"
"05";"ANTIOQUIA";"353";"HISPANIA"
"05";"ANTIOQUIA";"360";"ITAGUI"
"05";"ANTIOQUIA";"361";"ITUANGO"
"05";"ANTIOQUIA";"364";"JARDIN"
"05";"ANTIOQUIA";"368";"JERICO"
"05";"ANTIOQUIA";"376";"LA CEJA"
"05";"ANTIOQUIA";"380";"LA ESTRELLA"
"05";"ANTIOQUIA";"390";"LA PINTADA"
"05";"ANTIOQUIA";"400";"LA UNION"
"05";"ANTIOQUIA";"411";"LIBORINA"
"05";"ANTIOQUIA";"425";"MACEO"
"05";"ANTIOQUIA";"440";"MARINILLA"
"05";"ANTIOQUIA";"467";"MONTEBELLO"
"05";"ANTIOQUIA";"475";"MURINDO"
"05";"ANTIOQUIA";"480";"MUTATA"
"05";"ANTIOQUIA";"483";"NARIÑO"
"05";"ANTIOQUIA";"490";"NECOCLI"
"05";"ANTIOQUIA";"495";"NECHI"
"05";"ANTIOQUIA";"501";"OLAYA"
"05";"ANTIOQUIA";"541";"PEÐOL"
"05";"ANTIOQUIA";"543";"PEQUE"
"05";"ANTIOQUIA";"576";"PUEBLORRICO"
"05";"ANTIOQUIA";"579";"PUERTO BERRIO"
"05";"ANTIOQUIA";"585";"PUERTO NARE"
"05";"ANTIOQUIA";"591";"PUERTO TRIUNFO"
"05";"ANTIOQUIA";"604";"REMEDIOS"
"05";"ANTIOQUIA";"607";"RETIRO"
"05";"ANTIOQUIA";"615";"RIONEGRO"
"05";"ANTIOQUIA";"628";"SABANALARGA"
"05";"ANTIOQUIA";"631";"SABANETA"
"05";"ANTIOQUIA";"642";"SALGAR"
"05";"ANTIOQUIA";"647";"SAN ANDRES DE CUERQUIA"
"05";"ANTIOQUIA";"649";"SAN CARLOS"
"05";"ANTIOQUIA";"652";"SAN FRANCISCO"
"05";"ANTIOQUIA";"656";"SAN JERONIMO"
"05";"ANTIOQUIA";"658";"SAN JOSE DE LA MONTAÑA"
"05";"ANTIOQUIA";"659";"SAN JUAN DE URABA"
"05";"ANTIOQUIA";"660";"SAN LUIS"
"05";"ANTIOQUIA";"664";"SAN PEDRO"
"05";"ANTIOQUIA";"665";"SAN PEDRO DE URABA"
"05";"ANTIOQUIA";"667";"SAN RAFAEL"
"05";"ANTIOQUIA";"670";"SAN ROQUE"
"05";"ANTIOQUIA";"674";"SAN VICENTE"
"05";"ANTIOQUIA";"679";"SANTA BARBARA"
